species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,name,lat,lon
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,Robert Shepard,-64.72254637337599,-63.798139834529685
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,John Lang,-64.76700232538379,-63.78688436115352
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,Evan Sexton DVM,-64.75411046454833,-63.82095240856391
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,Ryan Johnson,-64.71285306720571,-63.78982051831289
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,Haley Benitez,-64.71791286914524,-63.789600364815435
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,Daniel Sullivan,-64.72882901212897,-63.815470275654526
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,Patricia Anderson,-64.73582887703432,-63.79664081121024
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,David Garcia,-64.74800479618963,-63.77153643859023
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,Kaylee Harris,-64.74192424918421,-63.7939847565408
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,Dennis Hayes,-64.70431361507714,-63.83489599282495
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,Mark Lewis,-64.73560348590644,-63.81057949691508
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,Suzanne Molina,-64.74343312748944,-63.77855019110386
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,John Wilkins,-64.71501505331337,-63.76723870744868
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,Todd Rodriguez,-64.70123136086313,-63.81056185327049
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,Adam Villarreal,-64.74118354307998,-63.75322566509315
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,John Lawrence,-64.72097357737992,-63.74926497581238
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,Dr. Kyle Smith,-64.74722975797206,-63.83182925880202
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,Christopher Snow,-64.75368254816932,-63.792051931534296
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,Matthew Ramos,-64.77393405788119,-63.80319442162528
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,Joshua Scott,-64.7392458524696,-63.76274435584316
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,Linda Shepherd,-64.72001807798856,-63.77892161518638
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,Anne Weiss,-64.76110495978132,-63.83635970239898
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,William Armstrong,-64.708049017407,-63.76990490546281
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,Joseph Gardner,-64.7211471904825,-63.7805847661097
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,Janice Richards,-64.7310627616058,-63.788038784757475
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,Rebecca Cooper,-64.7598656926325,-63.80388088637212
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,Adam Francis,-64.76872026864523,-63.82062574160489
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,Shane Holmes,-64.75368519693927,-63.771383263520406
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,Jasmine Arnold,-64.71804679003196,-63.77501883350067
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,Christopher Nichols,-64.7273943400052,-63.72635013781521
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,Jonathan Snyder,-64.73070136232312,-63.79280480195232
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,Marie Smith,-64.72279424013226,-63.78398112175455
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,Emma White,-64.76962065717078,-63.77912054383368
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,Steven Conner,-64.73821339604389,-63.759433350412706
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,Scott Black,-64.76497659422908,-63.792908032459465
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,Michael Boyer,-64.71775572537852,-63.79403904741514
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,David Jones,-64.73902580968992,-63.789170017914074
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,Michelle Washington,-64.76181952989398,-63.79505486112391
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,Melissa Ruiz,-64.7120541676934,-63.82477431698676
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,Johnathan Fernandez,-64.76112243859713,-63.80637092003441
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,Danny Silva,-64.74024752766347,-63.822844404872264
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,Crystal Anderson,-64.69943885527984,-63.78610929519581
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,Victoria Blair,-64.74238888776995,-63.78773026703282
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,Molly Price,-64.73141256970135,-63.79822018790696
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,Julia Rowland,-64.72652187924908,-63.842843375151105
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,Zachary Anderson,-64.75919178417936,-63.785165498208805
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male,Kenneth Dunlap,-64.76047585845734,-63.78312690195441
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,Paige May,-64.74270348173691,-63.82453825098339
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,Elizabeth Williams,-64.73633327754925,-63.803678294986334
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,Claudia Gibson,-64.74476097796794,-63.77366539760899
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,Veronica Anderson,-64.72859890076285,-63.746406467429686
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,Crystal Holmes,-64.7651666527237,-63.796458454053656
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,Male,Meghan James,-64.76671641168423,-63.779343706958656
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,Carolyn Holloway,-64.74776749889146,-63.7786965768564
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,Dr. Ashley Price,-64.74402186517946,-63.785537303630996
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,Gregory Ross,-64.76770169323888,-63.796739774365186
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,Joel Bass,-64.70547418432346,-63.76175970510293
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,Elizabeth Wilson,-64.72529306130417,-63.80066650784809
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,Robert Green,-64.72214352142583,-63.77916456633819
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,Cheryl Lyons,-64.74405828688207,-63.7907740659302
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,John Gonzales,-64.74933250924042,-63.77736695019577
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,Christine Sutton,-64.72781552430058,-63.81447475134049
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,Male,Christine Jones,-64.7014065232911,-63.81041845662583
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,Gerald Lin,-64.7366670660363,-63.76871879425661
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,Andrew Patel,-64.79938891977511,-63.77806323507425
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,Daniel Jennings,-64.71848997804196,-63.80384261492376
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,Walter Robinson,-64.77935024079507,-63.75746032731929
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,Bethany Garcia,-64.76905018162621,-63.77603255514969
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,Stacey Mcgee,-64.73357292718192,-63.788681323920116
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,Megan Perez,-64.72260743847738,-63.763957690198964
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,Daniel Adams,-64.72990183811119,-63.79701258656848
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,Jonathan Adams,-64.75192972812003,-63.79979919504672
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,Robert Lindsey,-64.76548869615436,-63.768078938057194
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,Lisa White,-64.70698530694683,-63.8158952264495
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,Lisa Levy,-64.72862896152877,-63.75502191858892
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,Christian Waters,-64.791230557158,-63.796044240814254
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,Crystal Ramos,-64.74458277414399,-63.788592266456334
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,John Baird,-64.75232231598055,-63.792177932065435
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,Ian Cline,-64.70830815625675,-63.8199977796313
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,Ms. Kristen Wagner,-64.73820305952539,-63.81634469587166
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,Susan Stark,-64.76037811237308,-63.80379173744838
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,Julia Farrell,-64.74656864536507,-63.78663691194256
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,Wendy Garcia,-64.74309709490464,-63.8150067026532
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,Rebecca Bell,-64.72203067160099,-63.75000355645457
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,Gina Horn,-64.76935081002966,-63.797642894429806
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,Oscar Tran,-64.75810008613274,-63.78644259840799
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,Joel Lee,-64.74305570414289,-63.81928448125312
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,Anthony Garrett,-64.70658428346121,-63.79742278776478
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,Erica Cole,-64.7297276050106,-63.817024046324526
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,Sara Watts,-64.71278228164464,-63.790406300727966
